kategori;nama_wisata;alamat;provinsi;kota_kabupaten;nama_lengkap;deskripsi_bersih
wisata alam;Ranu Kumbolo;Ranu Kumbolo, Pasrujambe, Kabupaten Lumajang, Jawa Timur, Jawa, Indonesia;Jawa Timur;Kabupaten Lumajang;Ranu Kumbolo, Kabupaten Lumajang, Jawa Timur;Ranu Kumbolo adalah danau alam di kawasan Taman Nasional Bromo Tengger Semeru, Kabupaten Lumajang, yang menjadi tempat favorit pendaki Semeru untuk berkemah dan menikmati pemandangan pegunungan.
wahana keluarga;Hawai Waterpark Malang;Hawai Waterpark, Jl. Graha Kencana Raya, Banjararum, Singosari, Kabupaten Malang, Jawa Timur, 65126, Indonesia;Jawa Timur;Kabupaten Malang;Hawai Waterpark Malang, Kabupaten Malang, Jawa Timur;Hawai Waterpark Malang merupakan taman wisata air bertema Hawaii di Kabupaten Malang yang menawarkan berbagai seluncuran, kolam ombak, dan wahana permainan air untuk keluarga
wahana keluarga;Malang Night Paradise;Malang Night Paradise, Graha Kencana Raya, Jl. Raya Karanglo No.66, Balearjosari, Blimbing, Kota Malang, Jawa Timur, Indonesia;Jawa Timur;Kota Malang;Malang Night Paradise, Kota Malang, Jawa Timur;Malang Night Paradise adalah taman hiburan malam di Kota Malang yang menghadirkan taman lampu, wahana tematik, dan area bermain keluarga dengan suasana penuh instalasi cahaya.
wisata alam;Ranu Pani;Ranu Pani, Desa Ranu Pani, Senduro, Kabupaten Lumajang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Lumajang;Ranu Pani, Kabupaten Lumajang, Jawa Timur;Ranu Pani adalah danau kecil di Desa Ranu Pani, Lumajang, yang menjadi pintu gerbang pendakian Gunung Semeru dan menawarkan suasana desa pegunungan yang sejuk.
wisata alam;Ranu Regulo;Ranu Regulo, Desa Ranu Pani, Senduro, Kabupaten Lumajang, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Lumajang;Ranu Regulo, Kabupaten Lumajang, Jawa Timur;Ranu Regulo adalah danau pegunungan di sekitar Desa Ranu Pani yang menawarkan pemandangan tenang dan sering dijadikan lokasi berkemah alternatif selain Ranu Kumbolo.
wahana keluarga;Wisata Bahari Lamongan;Wisata Bahari Lamongan, Jalan Raya Paciran, Paciran, Kabupaten Lamongan, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Lamongan;Wisata Bahari Lamongan, Kabupaten Lamongan, Jawa Timur;Wisata Bahari Lamongan adalah taman rekreasi keluarga di pesisir Lamongan yang menggabungkan wahana permainan, area pantai, dan berbagai atraksi tematik bertema bahari.
taman;Kebun Bibit Wonorejo;Kebun Bibit Wonorejo, Jl. Raya Wonorejo, Wonorejo, Rungkut, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kebun Bibit Wonorejo, Surabaya, Jawa Timur;Kebun Bibit Wonorejo merupakan ruang terbuka hijau di Surabaya dengan danau, area jogging, dan taman bermain yang sering dimanfaatkan warga untuk rekreasi keluarga dan olahraga.
taman;Taman Bungkul;Taman Bungkul, Jl. Raya Darmo, Darmo, Wonokromo, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Bungkul, Surabaya, Jawa Timur;Taman Bungkul adalah taman kota populer di Surabaya yang dilengkapi area bermain, panggung, jalur pejalan kaki, dan kuliner kaki lima, sering menjadi tempat nongkrong warga.
wahana keluarga;Kenjeran Park;Kenjeran Park, Jl. Pantai Ria Kenjeran, Sukolilo Baru, Bulak, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kenjeran Park, Surabaya, Jawa Timur;Kenjeran Park merupakan kawasan wisata keluarga di Surabaya yang menggabungkan pantai, taman bermain, dan replika bangunan ikonik seperti pagoda dan klenteng.
wisata tematik;Kampung Lawas Maspati;Kampung Lawas Maspati, Jl. Maspati Dalam, Bubutan, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kampung Lawas Maspati, Surabaya, Jawa Timur;Kampung Lawas Maspati adalah kampung wisata tematik di Surabaya dengan gang mural, rumah tua, dan aktivitas budaya yang mengangkat sejarah permukiman lama.
wisata tematik;Kota Lama Surabaya;Kawasan Kota Lama Surabaya, sekitar Jl. Kembang Jepun, Jl. Jembatan Merah, dan sekitarnya, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kota Lama Surabaya, Surabaya, Jawa Timur;Kota Lama Surabaya adalah kawasan kota tua dengan bangunan kolonial, museum, dan kawasan perdagangan lama di sekitar Jembatan Merah yang sering dijadikan lokasi wisata sejarah dan fotografi.
wisata tematik;Jalan Tunjungan;Jalan Tunjungan, Genteng, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Jalan Tunjungan, Surabaya, Jawa Timur;Jalan Tunjungan adalah kawasan heritage di pusat Surabaya yang dipenuhi gedung kolonial, hotel bersejarah, dan pertokoan modern, terkenal sebagai ikon kota dan lokasi wisata foto malam hari.
wisata tematik;Surabaya North Quay;Surabaya North Quay, Terminal Gapura Surya Nusantara, Pelabuhan Tanjung Perak, Surabaya, Jawa Timur, Indonesi;Jawa Timur;Surabaya;Surabaya North Quay, Surabaya, Jawa Timur;Surabaya North Quay adalah kawasan wisata di area Pelabuhan Tanjung Perak yang menawarkan pemandangan kapal pesiar, sunset di laut, serta area kuliner dan event kreatif.
taman;Taman Prestasi Surabaya;Taman Prestasi, Jl. Ketabang Kali, Ketabang, Genteng, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Prestasi, Surabaya, Jawa Timur;Taman Prestasi adalah taman kota di tepi Kalimas dengan area hijau, jalur pejalan kaki, dan lokasi naik perahu wisata Kalimas yang sering dipakai untuk rekreasi keluarga.
taman;Taman Flora Bratang;Taman Flora Bratang, Jl. Bratang Binangun, Baratajaya, Gubeng, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Flora Bratang, Surabaya, Jawa Timur;Taman Flora Bratang adalah taman kota dengan koleksi tanaman, area bermain, dan fasilitas olahraga ringan yang menjadi salah satu ruang terbuka hijau favorit warga Surabaya.
wisata tematik;Kampung Nelayan Kenjeran;Kampung Nelayan Kenjeran, sekitar Jl. Pantai Kenjeran, Bulak, Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Kampung Nelayan Kenjeran, Surabaya, Jawa Timur;Kampung Nelayan Kenjeran adalah kampung wisata pesisir di Surabaya dengan rumah-rumah nelayan, mural, dan spot foto berlatar laut yang mendukung wisata pantai Kenjeran.
